Job_Title,Company,Location,Salary_Raw,Link,JD & Requirements,Job_Domain,Min_years_of_exp,Language_Requirement,Skills
Agile Delivery Manager,ONE Tech Stop Vietnam Company Ltd,"Tầng 3-4 tòa nhà Phi Long, 52 Nguyễn Văn Linh, Da Nang",You'll love it,https://itviec.com/it-jobs?job_selected=da-nang-scrum-master-one-tech-stop-vietnam-company-ltd-0856,"Job description
Responsible for promoting and supporting Scrum by helping everyone understand Scrum theory, practices, principles, and values.
Ensure that the Scrum process works well and properly.
Coach the team on how to use Scrum practices and values to delight customers.
Coach the scrum team in self-organization
Collaborate closely with the Product Owner to manage the product backlog.
Facilitate Scrum events and other meetings as needed, e.g. product backlog refinement, planning, daily scrum, sprint review, and sprint retrospective.
Facilitate getting the work done without coercion, assigning, or dictating the work.
Facilitate discussion, decision-making, and conflict resolution.
Guide the team to minimize and eliminate impediments
Provide all support to the team using a servant leadership style whenever possible
Help the scrum team achieve higher levels of scrum maturity.
Work with other Scrum Masters to increase the effectiveness of applying Scrum in the Organization.
PERSONAL ATTRIBUTES:

Responsible to create a safe environment where problems can be raised without fear of blame, retribution, or judgment.
An individual who is able to raise the morale of the team if it gets low.
Your skills and experience
Having knowledge of Scrum techniques and artifacts.
Highly proficient in spoken and written English skills
Working technical knowledge of the software development process – design, development, test, and deployment
Strong communication, collaboration, leadership, conflict resolution, and time management skills
Applicable knowledge of the technologies used by the team
Analytical skills to be able to solve problems and remove impediments
Strong interpersonal skills including mentoring, coaching, collaborating, and team building
Certified Scrum Master is a plus",Management & Analysis,,English,Scrum / Agile
"Agentic AI Developer (Python, Prompt Engineering)",METUB Việt Nam,"35/2 Nguyễn Văn Hưởng, Phường An Khánh, An Khanh, Ho Chi Minh",You'll love it,https://itviec.com/it-jobs/agentic-ai-developer-python-prompt-engineering-metub-viet-nam-0932?lab_feature=preview_jd_page,"Job description
1. MỤC TIÊU VỊ TRÍ

Tái định nghĩa quy trình phát triển phần mềm truyền thống bằng cách ứng dụng tư duy Vibe Coding và hệ sinh thái Agentic AI. Vai trò này không chỉ dừng lại ở việc viết code, mà trọng tâm là thiết lập, điều phối và tối ưu hóa các AI Agents tự trị (Autonomous Agents) để xây dựng sản phẩm với tốc độ đột phá, đảm bảo tính linh hoạt và khả năng mở rộng cao cho hệ thống của tổ chức.

2. TRÁCH NHIỆM CHÍNH

Phát triển Hệ thống Agentic AI: Thiết kế và triển khai các luồng công việc (workflows) sử dụng AI Agents để tự động hóa các bài toán nghiệp vụ phức tạp từ nội dung, dữ liệu đến vận hành.
Ứng dụng Vibe Coding Workflow: Sử dụng thành thạo các công cụ lập trình thế hệ mới (Claude Code, Codex, Antigravity, Cursor, Windsurf, v.v.) để hiện thực hóa các ý tưởng sản phẩm (Intent-driven development). Tập trung vào việc mô tả logic, cấu trúc và kiểm soát chất lượng đầu ra của AI thay vì lập trình thủ công từng dòng lệnh.
Tối ưu hóa Hiệu suất Phát triển: Xây dựng các bộ công cụ bổ trợ (Internal Tools/Agents) giúp đội ngũ Tech rút ngắn thời gian từ ý tưởng đến sản phẩm (Time-to-market), đạt mục tiêu tăng năng suất gấp nhiều lần so với phương pháp truyền thống.
Tích hợp & Đảm bảo Chất lượng: Giám sát quá trình code-gen của AI, thực hiện kiểm thử và tối ưu hóa các prompt/logic phức tạp để đảm bảo hệ thống vận hành ổn định, bảo mật và đúng định hướng kiến trúc của công ty.
Your skills and experience
Tư duy Sản phẩm & Kiến trúc (Architectural Mindset): Khả năng nhìn nhận bài toán ở mức tổng thể, định nghĩa ""Vibe"" (luồng logic và cấu trúc dữ liệu) một cách rõ ràng để AI có thể thực thi chính xác.
Am hiểu Agentic Frameworks: Kinh nghiệm làm việc với các framework điều phối AI (LangChain, LangGraph, CrewAI hoặc tương đương). Hiểu rõ về khái niệm RAG, Tool Use (Function Calling) và Memory trong AI Agents.
Kỹ năng Điều phối AI (AI Orchestration): Thành thạo kỹ thuật Prompt Engineering cao cấp và có khả năng đọc hiểu/debug code do AI tạo ra một cách nhanh chóng trên nhiều ngôn ngữ (ưu tiên Python, TypeScript).
Tư duy Đổi mới (Adaptability): Khả năng cập nhật cực nhanh các công cụ AI mới và sẵn sàng thay đổi phương pháp làm việc cũ để tối ưu hóa hiệu quả công việc.",Data & AI,,None,"Python, TypeScript, Langchain, RAG, GenAI / LLM"
AI Engineer,VinSmart Future,"Tòa nhà TechnoPark, Oceanpark, Đa Tốn, Ha Noi Tầng 20A, Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, phường Bến Nghé, Ho Chi Minh",You'll love it,https://itviec.com/it-jobs/ai-engineer-middle-senior-leader-vinsmart-future-3621?lab_feature=preview_jd_page,"Job description
● Design, train, and deploy AI models in production to support real-time or large-scale applications. 

● Lead or contribute to projects involving CV, NLP, and generative AI (e.g., RAG, diffusion models, agent-based systems). 

● Collaborate closely with software engineers, product managers, and researchers to turn ideas into end-to-end AI solutions. 

● Build robust pipelines for training, evaluation, and inference using modern ML Ops practices. 

● Stay up-to-date with recent advancements in AI/ML and bring innovative approaches to solve challenges across various industry domains.

Your skills and experience
Core Requirements 

● Strong engineering background with proficiency in Python and deep learning frameworks (PyTorch, TensorFlow, Unsloth, or similar). 

● Solid understanding of core ML/AI concepts and mathematics (linear algebra, probability, optimization). 

● Experience deploying AI/ML models in production environments. 

● Familiarity with one or more of the following areas: 

○ Computer Vision: object/behavior detection, re-identification, segmentation, or 

diffusion-based models. 

○ NLP: transformers, RAG pipelines, large language models, conversational AI, or text 

understanding for diverse applications. 

○ Agentic AI Systems: tool-using agents, multi-agent coordination, or autonomous 

workflows. 

○ Multi-Domain AI: experience adapting AI solutions across different verticals (urban 

tech, consumer apps, enterprise systems). 

Bonus Points 

● Experience across multiple domains such as smart cities (traffic analytics, surveillance, sensor data, public safety), consumer applications (recommendation systems, personalization, user experience), or enterprise intelligent systems. 

● ML Ops knowledge: MLflow, W&B, Docker, cloud compute (AWS, GCP, etc.). 

● Exposure to distributed training or large-scale data processing. 

● Experience with API development, microservices architecture, or full-stack AI integration. 

● Contributions to research papers or open-source ML libraries.

 

Bonus Points 

● Experience across multiple domains such as smart cities (traffic analytics, surveillance, sensor data, public safety), consumer applications (recommendation systems, personalization, user experience), or enterprise intelligent systems. 

● ML Ops knowledge: MLflow, W&B, Docker, cloud compute (AWS, GCP, etc.). 

● Exposure to distributed training or large-scale data processing. 

● Experience with API development, microservices architecture, or full-stack AI integration. 

● Contributions to research papers or open-source ML libraries.",Data & AI,,None,"Python, Deep Learning, Computer Vision, NLP, GenAI / LLM, RAG, Transformer, MLOps, Docker, AWS, GCP, API, Microservices"
AI Engineer,Vietnamobile,"583 Lạc Long Quân, Tay Ho, Ha Noi","500 - 1,000 USD",https://itviec.com/it-jobs/ai-engineer-vietnamobile-2859?lab_feature=preview_jd_page,"Job description
AI Model Development & Integration
Develop, fine-tune, and deploy AI/ML/LLM models for business applications. 
Implement solutions using Generative AI, NLP, Computer Vision, and recommendation systems. 
Build and optimize data pipelines for training and inference workflows. 
Integrate AI services into internal systems, APIs, and enterprise platforms. 
AI Solution Deployment
Support deployment of AI solutions from POC → Pilot → Production. 
Optimize model performance, latency, and scalability. 
Monitor model behavior and maintain production reliability. 
Ensure data quality and model output accuracy. 
Platform & Infrastructure Support
Work with cloud/on-premise infrastructure for AI workloads. 
Support GPU environments, vector databases, and model-serving systems. 
Collaborate with MLOps engineers to automate training and deployment pipelines. 
Business Collaboration
Work with internal teams to implement AI-driven automation solutions: 
Internal chatbot systems 
Document processing automation 
Predictive analytics 
Operational optimization tools
Your skills and experience
Technical Requirements
Bachelor’s degree in Computer Science, Artificial Intelligence, Software Engineering, or related fields. 
Minimum 1–3 years experience working with AI/ML solutions (or strong project portfolio). 
Strong programming skills in Python (preferred). 
Experience working with TensorFlow, PyTorch, Hugging Face, or similar frameworks. 
Familiarity with LLM integration (OpenAI API / open-source LLMs) is a strong advantage. 
Understanding of data processing, feature engineering, and model evaluation. 
Experience with cloud platforms (AWS, Azure, GCP) is a plus. 
Knowledge of vector databases, embeddings, or RAG pipelines is an advantage. 
Experience working with APIs, microservices, or backend integration is preferred.
Soft Skills Requirements
Strong problem-solving and analytical thinking. 
Ability to translate business needs into technical AI solutions. 
Good collaboration skills across technical and non-technical teams. 
Fast learner with adaptability to new AI technologies. 
Responsible mindset toward data security and model reliability.",Data & AI,1.0,None,"Python, GenAI / LLM, NLP, Computer Vision, Machine Learning, AWS, Azure, GCP, Vector Database, RAG, API, Microservices, MLOps"
AI-Native Associate Product Manager,"MONEY FORWARD VIETNAM CO.,LTD","Tòa nhà E.Town Central, Số 11 Đoàn Văn Bơ, Xom Chieu, Ho Chi Minh Tầng 11, ROX Tower, 54A Nguyễn Chí Thanh,, Lang, Ha Noi",You'll love it,https://itviec.com/it-jobs/ai-native-associate-product-manager-japanese-required-money-forward-vietnam-co-ltd-1215?lab_feature=preview_jd_page,"Job description
Purpose and Objective
At Money Forward Vietnam, a Product Manager is “Someone who does whatever it takes for the success of the product.” As an AI-Native Associate Product Manager, you are the driver of product execution and a ""Mini-CEO"" of your assigned scope. Your mission is to master the Product Management Triangle (Engineering, Business, and User) and leverage AI to bridge the gap between non-verbalized user pain points and high-fidelity technical requirements. You are responsible for navigating complex legal and operational constraints to ensure our products deliver world-class value.

About This Role: Responsibilities
Absolute Ownership: You own the success of your assigned product area. You identify gaps between departments and proactively resolve issues outside the traditional scope to move the product forward.
Cross-Functional Synergy (Sales & CS): You serve as the primary bridge between the product and the front office. You work closely with Sales and Customer Success teams to ensure they are fully equipped to deliver the product's value. You provide expert-level support by addressing complex product inquiries and translating technical capabilities into business benefits.
High-Fidelity PRD Development: You translate guidance from Lead PdMs and identified user needs into comprehensive PRDs from scratch. You drive the development process and ensure the output meets the ""Money Forward"" standard of excellence.
Domain Structuring: You move beyond ""Domain Knowledge"" to ""Domain Understanding."" You are expected to define the absolute boundaries and legal/operational constraints of complex back-office workflows.
Hypothesis-Driven Development: You utilize the ""Demo First"" approach. Instead of passive interviewing, you present high-fidelity hypotheses and prototypes to stakeholders and customers to extract true, non-verbalized insights.
AI Management: You integrate AI tools into your workflow for deep data analysis and to translate vague requirements into high-resolution technical specifications for the engineering team. 
Your skills and experience
Your Skills and Experience
Core Competencies (The Triangle)
User/Domain: Ability to structure complex operations (Finance, Accounting, HR). You must be able to explain the why behind a requirement, not just the what.
Business & Communication: Strong interpersonal skills to collaborate with Sales and CS. You act as the product advocate, ensuring that feedback from the field is funneled back into the roadmap while providing the clarity the business side needs to succeed.
AI & Technical Execution: You utilize AI tools to analyze data and translate vague requirements into high-resolution specifications. You lead the Agile development cycle by effectively communicating business and user constraints to engineers, ensuring the final output aligns perfectly with the strategic product vision.
Minimum Qualifications
1–3 years of experience as a Product Manager, Business Analyst, or in a high-impact architectural role within the Fintech/SaaS sector.
Track Record of Ownership: Demonstrated ability to drive projects to completion by taking initiative beyond the standard job description.
Strategic Reverse-Calculation: Ability to visualize the ""Final Goal"" of a product and work backward to define the necessary steps, avoiding the trap of incremental ""stacking.""
Global Communication: Professional fluency in English.
Japanese Language Skills (JLPT N2 or higher): Essential for understanding the nuances of Japanese back-office constraints and influencing stakeholders in a multinational environment.
Preferred Qualifications
Direct experience with ERP, HR, or Accounting systems for SMEs or growth-stage companies.",Management & Analysis,1.0,Japanese,"Business Analysis, Scrum / Agile, Data Analysis"
Android Developer (Kotlin / MVVM),MEGAZONE,"tầng 26, tòa nhà The West, 265 Cầu Giấy, Ha Noi",Up to 2000$,https://itviec.com/it-jobs/android-developer-kotlin-mvvm-megazone-1800?lab_feature=preview_jd_page,"Job description
Design and develop Android applications following clean architecture principles (e.g. MVVM, MVI).
Implement dependencies using DI frameworks such as Hilt or Dagger.
Handle asynchronous programming and multithreading using Kotlin Coroutines and Flow.
Work with Jetpack libraries, including Navigation and Jetpack Compose, to build scalable and modern UI.
Analyze logs, identify root causes, and reproduce bugs for debugging and issue resolution.
Collaborate with designers, product managers, and other developers to deliver high-quality features.
Continuously learn and apply new technologies and best practices.
Your skills and experience
Strong understanding of Android application architecture (MVVM, MVI, etc.).
Experience with dependency injection using Hilt or Dagger.
Proficient in Kotlin, especially with Coroutines and Flow.
Familiarity with Android Jetpack components: Navigation and Compose.
Good debugging skills: Able to read logs, trace and reproduce bugs effectively.
Self-driven, hardworking, and eager to learn.
Nice to Have:

Knowledge of Android Framework and experience working with AOSP (Android Open Source Project).
Experience in Android Automotive development.
Experience working with Figma for design handoff and UI collaboration.",Software Development,,None,"Mobile Apps, Design"
Android Developer,Ingenico Vietnam,"21 Duy Tân, Ha Noi","1,000 - 3,000 USD",https://itviec.com/it-jobs/android-developer-middle-senior-up-to-3000-ingenico-vietnam-2356?lab_feature=preview_jd_page,"Job description
About Ingenico
Ingenico is the global leader in payment acceptance and services. We support our customers, and their customers, to do more with payments. Active in 37 countries with over 3,500 employees, we have been at the forefront of the commerce landscape for over four decades. With more than 40 million payment devices deployed worldwide, powered by over 2,500 apps, Ingenico serves the needs of millions of consumers every day. Through our advanced integrated solutions and network of partnerships, we simplify the world of payments and bring value-added services to move commerce forward.

We have an exciting opportunity to join our team. You will be part of a dynamic and innovative culture where new ideas are encouraged and collaboration is key.

 

About the Role
We are looking for a Senior Android Developer to join our Android Competence Center. In this role, you will lead software development within a small team, guide engineers on best practices and code quality, and work closely with cross-functional stakeholders to plan feature integration and deliver high-quality Android solutions used across multiple regions.

 

This is a full-time, permanent role based in Hanoi, Vietnam.

 

What You Will Do
Lead software development activities within a small team of developers
Manage team workload to ensure tasks are well planned and delivered on time
Partner with the Mainline Manager to plan feature branches and integration
Provide technical guidance to team members on software engineering best practices
Conduct and support code reviews to maintain strong internal quality standards
Collaborate with the Agile Project Lead on scope analysis and workload estimation
Work closely with QA teams to improve unit test coverage and support interim releases
Contribute to software analysis, design, and architecture decisions
Help ensure technical deliverables meet quality expectations and project commitments
Support a collaborative, learning-focused engineering culture
Your skills and experience
Nice to Have
Bachelor’s or Master’s degree in Computer Science, Information Technology, Computer Engineering, or a related field
5–8 years of software development experience
Strong experience in Android development, with the ability to mentor and guide others
Proficiency in Kotlin or Java
Experience in software analysis, design, and architecture
Strong capability in requirement analysis and workload estimation
Experience leading or coordinating a small development team
Familiarity with development management tools such as Git, Jira, and Jenkins
Good communication skills in English
A collaborative, open-minded approach with a willingness to share knowledge and support teammates
Nice to Have
Experience with Python
Experience in testing tools such as Appium or Robot Framework
Experience using Docker
Fast learner with a strong interest in new tools and technologies",Software Development,5.0,English,"Java, Git, CI/CD, Software Architecture, Unit Test, Python, Automation Test, Docker"
"Automation Test Engineer (Python, Embedded)",LG Electronics Development Vietnam (LGEDV),"Tầng 17 đến tầng 21, Tòa văn phòng, Lotte Mall Hà Nội, Số 272 Võ Chí Công, Phường Tây Hồ, Thành phố Hà Nội, Tay Ho, Ha Noi","700 - 1,400 USD",https://itviec.com/it-jobs/automation-test-engineer-python-embedded-lg-electronics-development-vietnam-lgedv-1809?lab_feature=preview_jd_page,"Job description
LGEDV VHA conducts core R&D activities, and various product reliability tests in support of our products such as Living appliances, Kitchen Appliances, and Air Solutions.

With the key missions of offering an environment that enables colleagues to demonstrate their capabilities, focus on their work and create value & delivering the “invaluable” office operation services & solutions that contributes to a company’s business success. You will have the opportunity to work, share and learn with talented engineers and launch strategic-oriented technology products of LG Corporation.

We offer an environment that enables colleagues to demonstrate their capabilities, focus on their work and create value.

At LG, you’re encouraged to take a creative and individual approach to challenges with strong emphasis placed on performance and skills - and equal, merit - based opportunities across the board.

 

Roles & Responsibility

Analyze software project requirements in embedded software
Develop, integrate, and optimize code for automation test features on new product models (including both OS and non-OS platforms).
Set up and configure hardware to support the operation, testing, and debugging of the automated test system.
Co-work with testers to create/update automation test scripts to ensure the automated testing process runs accurately and efficiently .
Trouble shoot project issues to detect root causes and propose solutions to solve project issues, improve the performance, scalability, and reliability of the automation test system .
Follow test leader’s assignment.
Your skills and experience
Bachelor’s degree in information technology, Computer Science, Computer Engineering, Electronic Engineering, Telecommunication Engineering or equivalent.
Has at least 3 years experience in coding position (Automation Testing or/and Developer), with at least 2 year experience in Python language;
Experienced working with embedded systems (hardware + software).
Fluent Git, experience with Application Life Cycle Management tool (e.g., Jira, CodeBeamer, Polarion, etc.)
Good understanding about SDLC.
Ability to have verbal and written communication skills in English
Experienced with Agile (Scrum/ Kanban/SAFe) working methods is preferred
Good knowledge about Linux is a plus.",Testing & Quality,3.0,English,"Automation Test, Python, Embedded / IoT, Git, Scrum / Agile, Linux"
Automation Tester (QA QC),ABBANK,"36 Hoàng Cầu, O Cho Dua, Ha Noi","1,000 - 2,000 USD",https://itviec.com/it-jobs/automation-tester-qa-qc-abbank-0039?lab_feature=preview_jd_page,"Job description
Xây dựng dụng cụ cho automation test và viết script cho các api/rest và application test.
Định nghĩa, phát triển, triển khai và duy trì script cho automation test
Quản lý phiên bản (source control) cho automation test script
Tham gia các cuộc họp về yêu cầu dự án để hiểu mục đích của dự án. Đóng góp thông tin về tính khả thi của dự án trên phương diện testing. Ước lượng thời gian testing cho dự án
Đưa ra phương án testing, phát triển các chiến lược automation test và các framework cho automation test…
Thiết kế test case và viết automation scripts.
Phối hợp với các thành viên khác trong nhóm để hiểu về mục tiêu của dự án, thu thập các yêu cầu liên quan đến automation, thiết kế automated test và giải quyết các vấn đề liên quan đến testing.
Phối hợp với nhóm Manual testing để đảm bảo phạm vi kiểm tra toàn diện.
Tham gia thực hiện Manual test khi cần thiết.
Luôn cập nhật các xu hướng và tiến bộ của ngành về các công cụ và kỹ thuật về automation testing.
Your skills and experience
Trình độ Cử nhân trở lên chuyên ngành về Công nghệ thông tin, Khoa học máy tính hoặc các chuyên ngành liên quan.
Có trên 02 năm kinh nghiệm trong automation testing cho api/rest hoặc mobile hoặc web
Ưu tiên ứng viên có kinh nghiệm làm việc với Agile/Scrum
Thông thạo trong việc viết automation test script với các ngôn ngữ như Java, C#.net, Python, Javascript, etc..
Am hiểu về các giai đoạn trong việc kiểm thử phần mềm như: kiểm thử tính năng, kiểm thử tích hợp, kiểm thử tự động, kiểm thử white-box/black box, và kiểm thử load/performance;
Kinh nghiệm sử dụng các bộ công cụ, framework như Katalon, Postman, Rest Assured, SoapUI, Selenium Webdriver, Mobile automation test, Jmeter, Jenkins, etc là một lợi thế;
Kinh nghiệm quản lý phiên bản (version control) (như Git) và CI/CD
Đào tạo, mentoring/ coaching các nhân viên trong team và dự án về các quy trình test driven development, automation testing liên quan đến SIT, UAT, Compliance Test, Performance test etc.
Cẩn thận, tỉ mỉ, cần cù, nhanh nhẹn, có khả năng làm việc độc lập hoặc nhóm với cường độ cao.
Tinh thần không ngại thay đổi tool/ framework/ ngôn ngữ",Testing & Quality,2.0,None,"Automation Test, API, Manual Test, Scrum / Agile, Java, C#, Python, JavaScript, Git, CI/CD"
Automotive Software Engineer,LG Electronics Development Vietnam,"Tầng 17 đến tầng 21, Tòa văn phòng, Lotte Mall Hà Nội, Số 272 Võ Chí Công, Phường Tây Hồ, Thành phố Hà Nội, Tay Ho, Ha Noi","800 - 2,500 USD",https://itviec.com/it-jobs/automotive-software-engineer-c-oop-middleware-lg-electronics-development-vietnam-lgedv-5740?lab_feature=preview_jd_page,"Job description
As member of Software Development team, you will be responsible for researching and developing applications for Car Infotainment, AVN (Audio Video Navigation) system, Cluster and , detailed as below: 

• Develop automotive products and technologies (included HMI Applications, HMI frameworks, Protocols to interface with HMI framework and middleware …); 

• Responsible for software delivery to head quarter; 

• Generate reports, communicate with local managements and head quarter.

Your skills and experience
*** General requirements:
• Bachelor degree in Information Technology, Computer Science, Computer Engineering, Electrical Engineering, Telecommunication Engineering, Mathematics, Mechanics and Informatics or equivalent.
• Strong motivation to develop career in automotive software field.
• Software development experience in C++ programming;
• Having good knowledge with OOP, OOAD (Object-Oriented Analysis and Design);
• Having hands-on experience to use JIRA, GIT and Gerrit;
• Having hands-on experiences in developing large software systems;
 

 

 

*** These skills would be considered as an advantage but not the must:
• Experiences related to multi-thread, multi-process programming;
• Having hands-on experiences to use and implement design patterns (MVC, Singleton, Observers);
• Experiences related to develop application using Qt/QML;
• Experiences related to design and develop GUI frameworks, front-end applications;
• Ability to effectively present information to top management, public groups, and/or board of directors.
",Software Development,,None,"C/C++, Git, System Design"
